Date,Country,Rating,Title,Review,Helpful,Page
21-Nov-21,the United States,5,This is the Absolute Best thing I have ever purchased for myself.,"I bought this for video games, I have since been blown away by what I have found to be freely available.I have tried around 150 apps/games/experiences. I have only paid for about 8 of them. I learned how to make music tracks in Virtuoso, I took a tour of Ann Frank's house, I learned how it felt to lose your eye sight and experience your surroundings through sound, I have seen countless documentaries (which is a whole new experience since you are there in the world), I got to fly through the International Space Station, I have fought as a gladiator against man and beast, I have fired up my last shot against hordes of zombies before resorting to baseball bats as the adrenaline sores, I have spent many hours exercising in a variety of games, but one of my favorite is Moon Rider (a free VR web browser title)(it's a rhythm game that can be played with light sabers or by punching the beats), and I have also attended concerts and enjoyed events while still being able to be my normal introverted self.My computer is not at all capable of working with VR, so that sucks, but the amount of stuff the Quest 2 can do stand alone is insanely impressive!There is so much here, it is like buying yourself a second life. I highly recommend reading up ahead of time on a site such as UploadVr. They have great introductory stories hidden away on that site specifically to prepare you and educate you on the Quest 2.My 65 year old mother even bought one, primarily for indoor exercise, but she also enjoys the travel apps which is as close to going somewhere as you can get without going there. Personally I enjoy the free Virtual Traveller, but I think my mother uses a pay app.If you are on the fence about this, stop right now and just buy it.The only caveat to this is that you do need enough well lit space that you can swing your arms about in a circle.I very quickly made more and more and more room in my living room. Now with the holidays I new there would be trouble. I punched a Christmas ball off the tree yesterday whole in a demo fight in an amazing boxing game called The Fight. I still haven't found that ball. It was a good solid left hook! I've also punched the ceiling while jumping and grabbing for a frisbee in the free zero g space sports game that plays like a cross between Ender's Game and Tron. In the gladiator game Gladius I ended up punching the handle off my decorative display cabinet. I cut my hand up on that one. The point here is you need space. Even when you try not to move, you move! There is a digital barrier that you start to see if you get too close to the edge, but in the heat of the moment it's not always enough.",16,5
22-Nov-21,the United States,1,Never received my 50$ credit,"I never received my ""oculus50"" 50$ free credit.I like the Oculus, it's great.I liked it so much I bought my girlfriend one, only I bought hers from somewhere else because they jipped me on my 50$. Last post was deleted so I won't name the place, but this place gave me my 50$ credit right on the spot.Amazon says you get it within 24 hours after it ships but literally says within 36 days in the tos. Ridiculous transparency, and false advertising.Still got it in 2 days & it's a great device. Would've gotten 5 stars had they gave me the 50$, I planned on putting it towards Christmas anyways but it's all good.",16,5
23-Nov-21,the United States,5,I'm Going To Go Ahead And Say 'Amazing'!,"I'm very impressed with this headset! I wrestled with whether to pay $100 more for double the storage capacity, but after perusing apps in the Oculus store and averaging app sizes, I determined there was too little value in that. Down the road, if I get REALLY into VR in general, I might wind up regretting that decision, but I honestly think that would be the only thing I'd regret about this device.Oculus was experiencing some kind of server issue that prevented me from completing registration and setup right away, so it was about 4 hours after I unboxed it that I was able to use it. And boy, was I blown away! I still have a VR headset that requires a phone be stuck in it, but I haven't used it in a while for just that reason. This one, of course, doesn't need that, and the resolution is really, really good. Your IPD (Inter-pupillary distance), or the distance between your eyes, can be accommodated by selecting from 3 different widths. I read one review that said the maximum is 68mm, but their IPD was 72. In that case, the image will appear blurry. For that reason, I suggest checking your IPD before you purchase.What's in the box is simple, the headset, two controllers (with batteries), a spacer for those who wear glasses and a silicone piece that makes it comfortable to wear against your face. It's very well balanced and doesn't feel heavy to me, but there are optional head straps you can get if you find it too front-heavy. I also like the passthrough feature that lets you see your real-world environment if/when you need to.I was pleasantly surprised at the quality and immersiveness of the sound, but I will probably get some ear buds soon so I can get a fuller volume level (I usually have the volume on about 6-7). But it sounds great. The 'Home' environment, which is set up like a house or apartment, is really cool, and there are several different designs available.I found the battery life, stated as about two hours, to be pretty accurate, but I bought a 10-foot USB cable so that I could have it plugged in and playing while it's charging (yes, you can use it fully while it's charging). There is a head strap available with a place for an optional battery to extend use time without worrying about a cable, but that doesn't seem necessary to me, at least not at this point. I just got done using it, and I was in VR for about 3 1/2 hours, and battery life was still 82%. So far, I have used it for probably 20 hours total since I've had it, and the controller batteries are still at 100%. I'm sure that depends on what you're doing, though.I have watched a couple of movies, and with the ability to have a curved screen (or flat if you prefer) that views even larger than my 60"" TV, it's just amazing. I've also played a few games, watched some videos of dancers, concerts, and awesome, immersive tours of places like Switzerland, Italy, the Matterhorn, Great Lakes, under-sea stuff and so many more. All of it has been awesome. And so far, I have found enough good, free content that I haven't gotten around to purchasing anything yet!Another effective feature is the voice control. You can do almost anything using voice commands, including powering the device off. I haven't explored that feature too deeply yet, but I have started and stopped apps and games, checked local time and weather and performed several other functions just by telling it what I want. You just double-press the 'Oculus' button to get it to listen for voice commandsOne complaint I know many will have, is that setting up the device REQUIRES a Facebook account. BUT, you can set it so that your FB profile info, including your profile name, will not be revealed in VR if you happen to do some multi-person thing, and neither is your Oculus username revealed to your FB contacts, so that doesn't bother me at all. The only thing I wish, and this is so minor it's really almost petty, but I do wish it came in black. That isn't even worth deducting stars over. Overall, I just love it, and I highly recommend it!",17,5
24-Nov-21,the United States,1,Isn't worth it,"I was not impressed with the quality of VR apps and games available right now.Perhaps in the future VR will be improved to the point where it lives up to the hype.The roller coaster and spacewalk apps were really good, but after that, I couldn't find any other apps or games that were impressive enough to justify the cost of the headset and accessories.The accessories are another thing.In order to use it, I needed to buy special headphones made especially for Oculus, a head strap that actually worked, an aftermarket face mask to keep out the light, and custom lenses as it is next to impossible to use it with eyeglasses.The $300.00 toy quickly became a $500.00 mistake.Thanks to Amazon's exceptional return policy I was able to send it all back for free with my Prime benefits.From what I experienced I think it will be a few more years before VR is truly ready for mainstream use.",12,5
25-Nov-21,the United States,5,Incredible set!!!,"The media could not be loaded.<U+00A0>I absolutely love this set! Came super fast. Packaged very well. No missing items¡¦. It¡¯s So much FUN, the crazy part is playing games on this vr set is a work out <U+0001F4AA><U+0001F3FD> without you knowing your working out. I lost 15 pounds easy, with this set.. buy it you won¡¯t be disappointed..",22,5
26-Nov-21,the United States,1,Controller not working less than a week after purchasing.,"I purchased 2 Oculus Quest 2¡¯s for my boys for Christmas. It is an incredibly cool gift & the boys enjoy them more than any other gaming system they¡¯ve had, however, less than a week later one of the remotes has stopped working properly. Most of the time when you push the joystick forward to move forward you don¡¯t move at all. It¡¯s like there¡¯s a short in the joystick. This renders the Quest 2 useless & it¡¯s disappointing & frustrating for the main Christmas gift to stop working in less than a week. I will update my review after I contact the manufacturer. enjoy them more than any other gaming system they¡¯ve had, however, less than a week later one of the remotes has stopped working properly. Most of the time when you push the joystick forward to move forward you don¡¯t move at all. It¡¯s like there¡¯s a short in the joystick. This renders the Quest 2 useless & it¡¯s disappointing & frustrating for the main Christmas gift to stop working in less than a week. I will update my review after I contact the manufacturer.",20,5
27-Nov-21,the United States,1,Facebook ruins it,"When I try to create an oculus account it requires you to log into Facebook or create a Facebook account.When I log into my Facebook login through the oculus quest app it just spin and spins and never loads to lets you pair. So we tried my Wife's Facebook account on her iPhone since it didn't work on my Samsung.Same thing its just stuck on loading.Then I go to the oculus website and try to create an account with a new Facebook account that I just created.Same thing just loads loads loads.2 different phones 2 different browsers on my pc.clear history per support still no go.I would advise staying away from this VR that requires you to sign into or create a Facebook account just to use it when you can't even set it up.Horrible experience having to jump through Facebook hoops just to get the VR experience.Just wait for more reliable VR from Play station, Xbox, Gaming on PC's.Facebook is the worst.",14,5
28-Nov-21,the United States,4,Wow... the material is BAD.,"I understand why they added the new face covers. The material is BAAAAD. Don't get me wrong, it's a great headset. Stronger than the Quest 1, cheaper and lighter. HOWEVER, the build quality is not as great as the Quest 1. They're kind of going the Quantity over Quality route.I've owned the Quest 1, HP Reverb G2, and Valve Index. Unfortunately, I had to downscale so I sold my index and got a Quest 2. This is how I look at it.First off, the face cover... it feels like cheap memory foam they pulled out of a car's seats. Within 5 seconds, my face felt like it did on the Quest 1 in an hour long gaming session. The new covers fix that, but man, I never thought I'd miss the old cover so much. The old ones honestly felt decent. Not too premium, not too rough. It honestly felt like I was rubbing a fine sponge on my face, first time using this thing.The controllers also look worse. They feel the same as the older ones, but they look like they were put together in a rush. On the older controllers, there were barely any noticeable gaps in the plastic, but they are SO obvious here. EDIT : New note; Tracking somehow seems worse... I'd say 3/4 times I use the headset, my Tracking is lost while I'm playing in a pretty well lit and detailed room. The Tracking of the controllers also seems worse. Functionally, it is the same. But Tracking on the Quest 1 definitely felt much smoother.The head strap is part downgrade/part neutral. I find it good that you can upgrade them, but we're talking about the base straps. The Quest 2 straps pinch your hair, if you've just recently cut them and they also chew on your ears. Of this whole experience I've had with the Quest 2, it's been my ears that have been the most annoyed. Audio is also lopsides, with my left hearing more than right. I'm gonna assume this can be resolved with some kind of RMA, but I'm fine with this.The software somehow also feels like a downgrade (or over complication and under complication). In the older versions (Quest 1 versions), you could find most things on one tab and basic functions were in submenus. Everything is all over the place now, and settings is placed in the library like an app... that's just weird. Also, the controllers... they represent where your fingers are a lot less than the older ones. It's a small detail, but it got me so immersed in the Quest 1. It doesn't sit well with me, but it's a minor problem.Lastly, IPD adjustment... I guess it's not that big of a deal, but I'd have preferred a 'by the millimeter' system. It does its job though.As for pros of this headset, there's a lot...1. It's a cheap entry into VR and you won't even need a PC.2. Oculus Software is usually pretty clean (I don't like how it changed so much, but I'll get used to it.)3. You can play PCVR with it.4. It generally improved on its predecessor, and at a lower cost.5. You can upgrade comfort.Would I recommend it? If you're willing to ignore facebook being a requirement, yeah. It's still a versatile headset, regardless of it's downsides.",9,5
29-Nov-21,the United States,1,Don¡¯t buy,The headset is linked to your Facebook account doesn¡¯t sound so bad until you have a problem with your Facebook account mine was disabled for a post from 2014 it didn¡¯t even show me the post now my head can¡¯t be used because it¡¯s tied to that account I¡¯m on day 42 with 37 emails and still can¡¯t use the headset,17,5
30-Nov-21,the United States,1,An absolute regret,"Most of my games on the Oculus store that worked fine with the rift, now crash when either loading a level or just starting the game.No issues with my games on steam as far as I can tellThe inverse might make sense but... Pretty pathetic a 3rd party can run their hardware properly and FB can't.",18,5
